ID,Arrondissement,Nom_parc_lieu,Proximite_jeux_repere,Intersection,Etat,Remarques,Precision_localisation,X,Y,Latitude,Longitude
1,Saint-Léonard,Delorme,bocce,rue Loranger/rue Péguy,,,orthophotographies,297819.89,5050237.94,45.5920117541965,-73.589462375603
2,Saint-Léonard,Delorme,pavillon,rue Loranger/rue Péguy,,,orthophotographies,297773.67,5050257.68,45.5921889147626,-73.5900550494669
3,Saint-Léonard,Delorme,pavillon,rue Loranger/rue Péguy,,,orthophotographies,297855.21,5050101.09,45.5907806932441,-73.5890077418093
4,Saint-Léonard,Delorme,montagne,rue Loranger/rue Péguy,,,orthophotographies,297774.77,5050256.8,45.5921810073908,-73.590040938345
5,Saint-Léonard,Delorme,basketball et soccer,entrée boulevard Robert,,,orthophotographies,297654.59,5050300.62,45.5925740874714,-73.5915819002069
6,Saint-Léonard,Ferland,pavillon,rue Belcourt /boulevard Lavoisier,,,orthophotographies,297118.07,5050704,45.5961980909595,-73.5984647530588
7,Saint-Léonard,Ferland,piscine,rue Belcourt /boulevard Lavoisier,,accès restreint,orthophotographies,297138.85,5050685.88,45.5960352715738,-73.5981981170499
8,Saint-Léonard,Pie-XII,bocce,rue Jean-Marie Lefebvre/boul. Lavoisier,,,orthophotographies,296529.51,5050026.57,45.5900956399991,-73.6059972563072
9,Saint-Léonard,Pie-XII,basketball,rue Dujarié/rue Le Corbusier,,,orthophotographies,296526.98,5049953.5,45.5894381057632,-73.6060284435696
10,Saint-Léonard,Pie-XII,piscine,rue Dujarié/rue de Nevers,,accès restreint,orthophotographies,296464.97,5049913.19,45.5890746447919,-73.6068224849356
11,Saint-Léonard,Pie-XII,piscine,rue Dujarié/rue de Nevers,,accès restreint,orthophotographies,296464.26,5049912.13,45.5890650981076,-73.6068315662484
12,Saint-Léonard,Coubertin,pavillon,rue Valéry/rue Narbonne,,,orthophotographies,296215.93,5049339.91,45.5839130808075,-73.6100041217273
13,Saint-Léonard,Coubertin,pavillon,rue Valéry/rue Narbonne,,,orthophotographies,296215.93,5049338.32,45.5838987735332,-73.6100040937848
14,Saint-Léonard,Luigi-Pirandello,bocce,rue Jean-Rivard/rue de Nice,,,orthophotographies,296717.63,5048690.13,45.5780721805316,-73.6035641400041
15,Saint-Léonard,Hébert (Stade),baseball,rue Colbert/boul. Métropolitain Est,,,orthophotographies,297450.41,5048206.42,45.5737277378482,-73.5941673390367
16,Saint-Léonard,Hébert (Stade),soccer,rue de Viterbe/rue de Viterbe,,,orthophotographies,297595.18,5048152.18,45.5732411836133,-73.5923116621237
17,Saint-Léonard,Hébert (Stade),pavillon,rue Colbert/boul. Provencher,,,orthophotographies,297620.82,5048037.96,45.5722136618172,-73.5919814726014
18,Saint-Léonard,Hébert (Stade),stade (l'entrée sous-sol),rue Colbert/boul. Métropolitain Est,,,orthophotographies,297518.57,5048198.03,45.5736529585963,-73.5932939085551
19,Saint-Léonard,Hébert (Parc),piscine,rue Colbert/boul. Provencher,,accès restreint,orthophotographies,297589.11,5048062.64,45.5724354122334,-73.5923881127418
20,Saint-Léonard,Hébert (Parc),piscine,rue Colbert/boul. Provencher,,accès restreint,orthophotographies,297587.9,5048061.19,45.5724223521469,-73.5924035942125
21,Saint-Léonard,Hébert (Parc),piscine,rue Colbert/boul. Provencher,,accès restreint,orthophotographies,297575.68,5048086.1,45.5726463732631,-73.5925605285234
22,Saint-Léonard,Hébert (Parc),piscine,rue Colbert/boul. Provencher,,accès restreint,orthophotographies,297577.76,5048084.96,45.5726361367813,-73.592533862021
23,Saint-Léonard,Hébert (Parc),piscine,rue Colbert/boul. Provencher,,accès restreint,orthophotographies,297579.26,5048083.81,45.5726258042923,-73.5925146265321
24,Saint-Léonard,Hébert (Parc),piscine,rue Colbert/boul. Provencher,,accès restreint,orthophotographies,297581.13,5048082.8,45.5726167354014,-73.5924906525568
25,Saint-Léonard,Hébert (Parc),carré de sable,rue Colbert/boul. Provencher,,,orthophotographies,297575.08,5048019.23,45.5720446501215,-73.5925672274284
26,Saint-Léonard,Ladauversière,bocce,rue de Meudon/boul. Lacordaire,,,orthophotographies,298274.39,5049047.39,45.5813032552857,-73.5836212582356
27,Saint-Léonard,Ladauversière,piscine,rue de Meudon/boul. Lacordaire,,accès restreint,orthophotographies,298309.22,5049078.31,45.5815818084528,-73.5831753467495
28,Saint-Léonard,Ladauversière,piscine,rue de Meudon/boul. Lacordaire,,accès restreint,orthophotographies,298350.2,5049103.86,45.5818120960631,-73.5826505511845
29,Saint-Léonard,Ladauversière,piscine,rue de Meudon/boul. Lacordaire,,accès restreint,orthophotographies,298358.77,5049108.4,45.5818530277291,-73.5825407914425
30,Saint-Léonard,Ladauversière,piscine,rue de Meudon/boul. Lacordaire,,accès restreint,orthophotographies,298312.39,5049071.44,45.5815200197243,-73.5831346339605
31,Saint-Léonard,Ladauversière,baseball,rue Jean-Talon Est/rue de Pontoise,,,orthophotographies,298489.01,5049176.95,45.5824710546093,-73.5808727253446
32,Saint-Léonard,Giuseppe-Garibaldi,piscine,rue de Côme/rue La Dauversière,,accès restreint,orthophotographies,299177.5,5049649.24,45.586726764106,-73.5720554549725
33,Saint-Léonard,Giuseppe-Garibaldi,pavillon,rue de Côme/rue La Dauversière,,,orthophotographies,299163.16,5049603.25,45.5863128166389,-73.5722386990733
34,Saint-Léonard,Giuseppe-Garibaldi,pavillon,rue de Côme/rue La Dauversière,,,orthophotographies,299160.52,5049604.25,45.586321793531,-73.5722725434083
35,Saint-Léonard,Giuseppe-Garibaldi,baseball,rue Liénard/rue La Dauversière,,,orthophotographies,299039.32,5049611.05,45.5863819887031,-73.573825856362
36,Saint-Léonard,Saint-Léonard,pavillon de la scène,boul. Lacordaire/rue des Galets,,,orthophotographies,297412.2,5049561.24,45.5859184052737,-73.5946773947037
37,Saint-Léonard,Saint-Léonard,pavillon de la scène,boul. Lacordaire/rue des Galets,,,orthophotographies,297418.27,5049552.31,45.5858381150145,-73.5945994705437
38,Saint-Léonard,Saint-Léonard,pavillon de la scène,boul. Lacordaire/rue des Galets,,,orthophotographies,297425.29,5049566.73,45.585967944774,-73.5945097246301
39,Saint-Léonard,Saint-Léonard,pavillon de la scène,boul. Lacordaire/rue des Galets,,,orthophotographies,297428.27,5049557.43,45.5858842922942,-73.5944713944749
40,Saint-Léonard,aréna Martin-Brodeur,soccer,rue des Galets/rue de l'Aunis,,,orthophotographies,297119.5,5049569.42,45.5859888409044,-73.5984285768339
41,Saint-Léonard,aréna Martin-Brodeur,aréna,rue des Galets/rue de l'Aunis,,,orthophotographies,297102.72,5049449.89,45.5849130902329,-73.5986417349467
42,Saint-Léonard,aréna Martin-Brodeur,aréna,rue des Galets/rue de l'Aunis,,,orthophotographies,297107.02,5049453.19,45.5849428321497,-73.5985866818955
43,Ahuntsic-Cartierville,Prieur,jardins communautaires,rue Sackville/rue Prieur Est,,accès restreint,orthophotographies,293151.73,5048680.08,45.5779311872942,-73.6492557330476
44,Ahuntsic-Cartierville,,jardins communautaires,rue Frémont/avenue De Chateaubriand,,accès restreint,orthophotographies,292953.69,5045875.79,45.5526940005986,-73.6517253756271
45,Ahuntsic-Cartierville,,jardins communautaires,rue Deschamps/rue Letellier,,accès restreint,orthophotographies,289589.09,5044953.59,45.54433039908,-73.6947896703629
46,Ahuntsic-Cartierville,,jardins communautaires,rue Deschamps/rue Letellier,,accès restreint,orthophotographies,288688.91,5042752.27,45.5245019742243,-73.7062448098801
47,Ahuntsic-Cartierville,du Petit-Bois-Franc,jardins communautaires,rue Dudemaine/rue Grenet,,accès restreint,orthophotographies,289590.59,5044960.86,45.5443958495668,-73.694770687498
48,Ahuntsic-Cartierville,Ahuntsic (près de),jardins communautaires,avenue Durham/boul. Henri-Bourassa Est,,accès restreint,orthophotographies,291837.96,5046357.6,45.5570096029911,-73.6660281500602
49,Ahuntsic-Cartierville,Marcelin-Wilson,jardins communautaires,avenue Marcelin-Wilson/rue Defoy,,accès restreint,orthophotographies,290512.32,5044177.23,45.5373640079733,-73.6829442674349
50,Ahuntsic-Cartierville,Saint-Sulpice (JC),jardins communautaires,ave Émile-Journault/ave André-Grasset,,accès restreint,orthophotographies,294235.31,5046379.95,45.5572512175254,-73.6353215573431
51,Ahuntsic-Cartierville,Saint-Sulpice (JC),jardins communautaires,ave Émile-Journault/ave André-Grasset,,accès restreint,orthophotographies,294184.58,5046303.11,45.5565590150628,-73.6359696810356
52,Ahuntsic-Cartierville,Du Sault-au-Récollets (JC),jardins communautaires,rue du Pressoir (tourne-bride)/boul. Gouin Est,,accès restreint,orthophotographies,292333.66,5048494.82,45.5762499897693,-73.6597333507135
53,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,orthophotographies,291787.23,5046257.8,45.5561106256678,-73.6666752827003
54,Ahuntsic-Cartierville,Avila-Vidal,module de jeux,rue Filion/rue de la Paix,,,orthophotographies,289515.25,5043300.34,45.5294523034188,-73.6956836482082
55,Ahuntsic-Cartierville,De Beauséjour,,boul. Gouin Ouest/rue Henri-D'Arles,,,orthophotographies,286655.11,5043216.86,45.5286325299218,-73.7322973382624
56,Ahuntsic-Cartierville,Du Cardinal-Paul-Émile-Léger,,rue Chabanel Est/ave De Galinée,,,orthophotographies,293685.77,5046588.35,45.5591179113194,-73.6423652483467
57,Ahuntsic-Cartierville,Du Boisé-De-Saint-Sulpice,,ave Olivier-Maurault/rue Legendre Est,,,orthophotographies,293771.51,5046057.51,45.5543426076567,-73.6412550160094
58,Ahuntsic-Cartierville,De Bordeaux,,rue Viel/boul. de l'Acadie,,,orthophotographies,289197.05,5044677.87,45.5418407134645,-73.6998012836626
59,Ahuntsic-Cartierville,Roland-Giguère,,Place de l'Acadie (tourne-bride),,,orthophotographies,290685.06,5043602.12,45.5321924961963,-73.6807158813562
60,Ahuntsic-Cartierville,D'Auteuil,baseball,rue Saint-Denis/rue Sauvé Est,,,orthophotographies,292630.73,5045446.11,45.548822033059,-73.6558510868443
61,Ahuntsic-Cartierville,D'Auteuil,pavillon,rue Saint-Denis/rue Sauvé Est,,,orthophotographies,292562.6,5045548.7,45.5497439773201,-73.656726185786
62,Ahuntsic-Cartierville,D'Auteuil,,rue Saint-Denis/rue Sauvé Est,,,orthophotographies,292510,5045500.53,45.5493096019002,-73.6573986293737
63,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,orthophotographies,292107.24,5046329.48,45.5567615314066,-73.6625782814415
64,Ahuntsic-Cartierville,Ahuntsic,,rue Lajeunesse/rue Prieur Est,,,orthophotographies,292107.24,5046329.48,45.5567615314066,-73.6625782814415
65,Ahuntsic-Cartierville,De la Merci,,boul. Gouin Est/rue Poincaré,,,orthophotographies,289403.22,5045174.2,45.546311432748,-73.6971768320911
66,Ahuntsic-Cartierville,De Mésy,,rue Legault/rue Grenet,,,orthophotographies,287819.83,5043362.35,45.5299710451682,-73.7173913333422
67,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,orthophotographies,293882.41,5048443.23,45.5758117920313,-73.6398878627745
68,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,orthophotographies,293830.99,5048325.81,45.5747544042729,-73.6405440732804
69,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,orthophotographies,293743.44,5048479.59,45.5761367754353,-73.6416693125804
70,Ahuntsic-Cartierville,Des Hirondelles,,rue Fleury Est/rue Larose,,,orthophotographies,293469.35,5048691.27,45.5780371229728,-73.6451861649691
71,Ahuntsic-Cartierville,Gabriel-Lalemant,,rue de Lille/rue Sauvé Est,,,orthophotographies,293648.93,5047932.46,45.5712120325848,-73.6428677953635
72,Ahuntsic-Cartierville,Gabreil-Lalemand,,rue Sauvé Est/rue de Lille,,,orthophotographies,293655.1,5047941.81,45.5712962654717,-73.6427889586055
73,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293660.36,5047951.68,45.5713851628507,-73.642721792405
74,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293129.31,5045314.83,45.5476492655392,-73.6494626952386
75,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293130.87,5045310.16,45.5476072694801,-73.6494426055465
76,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293109.09,5045210.14,45.5467068913082,-73.6497191443933
77,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293017.24,5045327.11,45.5477578781529,-73.6508982296043
78,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293019.18,5045330.78,45.5477909348337,-73.6508734730469
79,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293013.12,5045351.45,45.5479768277479,-73.6509515792422
80,Ahuntsic-Cartierville,Henri-Julien,,rue Saint-Denis/rue Legendre Est,,,orthophotographies,293204.3,5045290.96,45.5474357279059,-73.64850176061
